"HolderAddress","Quantity","PendingBalanceUpdate"
"0x061fb932390c794382d0f74ab9edd077d8acc7ab","1","No"
"0x063882309dff155ad967bcf08db42e0ee799b602","1","No"
"0x06b5255e2560460f707a0ec983c0d17888b749be","1","No"
"0x06dd30d9c825be86b4ffb5f7d9d21d291ebce0f8","1","No"
"0x07b84cb400f8f782f11554800fe2291b8b45127b","1","No"
"0x088138696e28a61a46e679215c947e22e20a8394","1","No"
"0x08a03d8cd83570234b1ff451e7ff22c85d314b6f","1","No"
"0x09597b642d57dc446bdf15fe73f98afaa562409b","1","No"
"0x09ca02c06f0a62445c31d049f0857bef4f8a081a","1","No"
"0x0b35b089e0573483fe3ea4cea4b131fa39785631","1","No"
"0x0c03e456138072eba16a75e8fbda843ad44fd212","1","No"
"0x0c47c5f0d8aa01470095149a63ee69cb60ada1b1","1","No"
"0x0cd929079c60fdcb3af959c2bd6afc1d5cb0e0fc","1","No"
"0x0ced8b4b1f8eaf6bd0ae6f572e7e2813f742af3d","1","No"
"0x0d0d13c7f5d328805206f557aaf1492be0445448","1","No"
"0x0d5fea7fb04ca674f2db4eb4cd324257d59279a6","1","No"
"0x0dadf546db98f9025b6070a01f84cab9add321ef","1","No"
"0x0dca1338de3822205e2514093c140dafd09fe63c","1","No"
"0x0dd51fb6bcda54203056e9666299ab9cd453ef82","1","No"
"0x0e31cced02a87fd518acd89ed8fe847680759c95","1","No"
"0x0e3403c90504d3015ee4e5fc601ff7a778aada8c","1","No"
"0x0e7d0aac0f8bebea1a88496c04f963f676e14c87","1","No"
"0x0f493931981ef166bc2faf0de4324f8a26bad0c2","1","No"
"0x0ff127e3a7b27041fd5821c0f0dbd6c8e0f00875","1","No"
"0x0ff5b34ef7b595a200c95744662e6ab618d62c93","1","No"
"0x102daf0f0b6c5f467dc0dab22c957c412e57b4aa","1","No"
"0x1112c9c86aba7edcc60c15a8616ad9c164b25b33","1","No"
"0x1114643a8632e728d58013753bd03dfe0f9b0c15","1","No"
"0x1201bdb3b8d4a6223fbc2f3ff416d3555af9ab9e","1","No"
"0x120ab634c636628f4cc68eaf4889f21f04695984","1","No"
"0x13c6b0c3c7f55aedc95a3df520f5e02d68b1c293","1","No"
"0x13fe5eb8876021e0634bf9d98043f18c0168fbfd","1","No"
"0x152850ad51ce417eafe684d23e035cab8b28f1f2","1","No"
"0x157335e2ab81318d48f4f58c398a63a33174abc4","1","No"
"0x163f0b5b14eeef3705d8bff6648b0ddc0e180b2c","1","No"
"0x172e3e9517555f2b9a38574fd2fcc1a2b72392da","1","No"
"0x174fe9c3deb341329484fa5ceaf4f2b4dff620d5","1","No"
"0x183e77f8131e024fe89eaf92666911b8dc2c6322","1","No"
"0x18b1d9767bea8e26e35e73fdda148577ee8ce9ce","1","No"
"0x18dce61496f9a5c846c6d2462e0116caf00e494d","1","No"
"0x18e23b5f48409c7153f0273ac9d7c1199fa17630","1","No"
"0x19e9bb4054ddc810f5e2665e8c85f78318a0cbbf","1","No"
"0x1a40b994c3f1411138a193e61b8684573ecfe1fb","1","No"
"0x1a682b9bce99468520b92c9c9e6b2492eb4dfcf9","1","No"
"0x1a8ad6789c1d7c53b8e4d95b4869edc1f376b1bc","1","No"
"0x1ce4e4ea21cf83d9606bd13eee5febc3aa910cb3","1","No"
"0x1d47143347ed3d4e494fa8bb3bf7aa5688a58e7d","1","No"
"0x1d6f4831a0b23e6539b6767f5831bc4b143c0b41","1","No"
"0x1d7dac4443c711d142951a2c979362b6b779cd8f","1","No"
"0x1dbe1df6b52fa1cfe6a4760496826995db8613ec","1","No"
"0x1e5bf2dec0be4f7c417552f8a229260e7eaf31e1","1","No"
"0x1e99e0cd8fa7e0e4dfde3b73f28e3f809b0745b7","1","No"
"0x20fcda706363bda8d54f5f2a5608ef1a3b4855bc","1","No"
"0x211be114202a5dad6cc3129a3411133255073313","1","No"
"0x211f4bc4a77fd03e5c5b3a3c85a94ebaece92381","1","No"
"0x216087773b6bdfb35cf99803839083852eaef104","1","No"
"0x2219d6b2c35a7f8f34d2b77ed7791c46eb852963","1","No"
"0x2461eafb9c4d9942c989e41e5036a8808f86eabb","1","No"
"0x24bbf22e96d4954aa3b8dc7d560e185f9d97505f","1","No"
"0x25939e70dc19ef0aa2819f5c6544712a36eebfa7","1","No"
"0x2780c4c1bcd3b6d42c689797c25bb7e59529194a","1","No"
"0x27d85522bffec648a59ddec2fbdd5659c094de02","1","No"
"0x2842caab61f885f70ab124e292879fa797aa4cda","1","No"
"0x284c46eef88b995d143d0c92cd2da43680c23387","1","No"
"0x288dc04e0a6fa5e2ac37a3b0ea35c351c243a1b3","1","No"
"0x2a056e7b46053bffeffff1be0711573fad58e65b","1","No"
"0x2c96d1b1fdc07fa23b9274150b9022f1b7945dcd","1","No"
"0x2cf5cd8dc377ded9ca1b5041a43b8e0c05ca5a55","1","No"
"0x2f339a9a4777264b4c5be90fe652c5d163b429ce","1","No"
"0x2f595c056e785e13579128df27cad2968d034ba4","1","No"
"0x2f78740dd2d260b3fff102cfa10d451b48b9c746","1","No"
"0x2f9af602b88a299b77a803fbb8b5fa8973dafc74","1","No"
"0x30b00a353853a7f53572f4dbdad389bdff5584fb","1","No"
"0x30dcaf28026a923bd38d3ccea15d1e5f37d0f0a8","1","No"
"0x31314a78fab6204f495ed9b7a27b50ff0f7a59b3","1","No"
"0x3346a9cf9e56916fc63795acf4d952d3d0ff880c","1","No"
"0x337febbfe19c7ebc01301030b817df1082085bee","1","No"
"0x33a5382a1014294a05452280e7183e0477c6315a","1","No"
"0x33b961cbf28b7bf26704aead180bfdd53a180cb9","1","No"
"0x34599cc4f54dba66ad5b69673c62b5e130897312","1","No"
"0x34e608ce2249bc15f8ff224fa1282907904e6084","1","No"
"0x34fee623474a202143add25602f531be0fbe5458","1","No"
"0x3515c363e39242bde9fc57c8182b2242e19ef2e1","1","No"
"0x3549d4a56d5e468e28dbea6f7a613b8a5c3e8673","1","No"
"0x366b5b8da59de816e0ff8cddc3f4cae006df08da","1","No"
"0x373c2b47ad2f80616efbc972d08151d4a2f91df2","1","No"
"0x373edcd5003cdb4ab6bdf3742d89f9c8aebabe8d","1","No"
"0x375f9a625fdfb77c2fe68b71a1a3288bbd6940c6","1","No"
"0x37df2a878500253bddd5f1465f7a77121194820f","1","No"
"0x3888d3a7d5e546b7cab85007488b522f01f639de","1","No"
"0x38fe64f01b9b8b66c6155ac6c37e6f87ee7fbc57","1","No"
"0x397e33b05f05e3f10f48ccb1853d68e991f914c2","1","No"
"0x3a4985fcfa8ed8c84521cf86a5c04faa9810055f","1","No"
"0x3aaf636b024ff2968144ab4d2c3dfde5310d72b7","1","No"
"0x3ab8c2c27a9c1a0b396758a77719e361b87240d6","1","No"
"0x3b34ea3e2ccd0930ff02e788398f278fb12480a6","1","No"
"0x3bd77b00f02c8bcff586c565e2c5e6b6c5878ec3","1","No"
"0x3bf0834190027ed8112f63cfcd76beb4b91caa01","1","No"
"0x3c0bb2e05bef64febef170d09ee4ea3f749e0556","1","No"
"0x3c4be22435118c14b1e8347d79b1f30d52ecb93c","1","No"
"0x3c8d60c8b8a835bf8999ecb8073ad1357bb2a455","1","No"
"0x3ceb7ba822883f1655d6b63b153e1ff85abfb574","1","No"
"0x3d2d0bdef98dbd86946b875ce8c4aeb07004baed","1","No"
"0x3d452c57b63977a4474dbf7203857cac877e9d43","1","No"
"0x3dfdf6fcb3a0506334ff7462258cde6e1bf8fcce","1","No"
"0x3ea3812be9988bb69bfd6c22d7c21c80ed4e0c3f","1","No"
"0x3ef1b2ed0b744973ed1433768d62f187be22127c","1","No"
"0x3f4a79a645943bfc801d1ca3a164445537d308f7","1","No"
"0x3fa3078d6bdd609cdf9ebe5f95deb613dcbb9108","1","No"
"0x3fc2ca5d9629f2826c8fca8667e1c74dae3f76d4","1","No"
"0x407f5dbd30ef934590cac816e8346b5301542f5e","1","No"
"0x409bd82cf7071daa870540495cfa21ae49e69f00","1","No"
"0x42da2585ef972b8b61d2210ae47caffabf972c1e","1","No"
"0x42eee689adac94f0d5667548757c52215c321493","1","No"
"0x4316c6e0f70f2844b88202feac3cf0ffcf2a4829","1","No"
"0x43678a9949caa6c6b0e97f5d3ea9e61f8ccf8821","1","No"
"0x43cd8baa8a0d4844e7670ff65cc9ac812ad8f1d2","1","No"
"0x43d664d2bc86af5892412106a636af75ea79cd53","1","No"
"0x4403440e3acfda385dd43c8fb76028811bf785bf","1","No"
"0x45412c76135acd4f801b2e351dca29bc722fc044","1","No"
"0x464d19bb970ff3a27d2f5404656c4915564dfa41","1","No"
"0x47fb72d0da2a56926135386b860c4e813e07d720","1","No"
"0x483cb415b6fc5409016e40dedbfbb6108bc92938","1","No"
"0x4886d6354a7f768cb9a7da84c7ae49fa97d217b8","1","No"
"0x48a591f904d0266d32d3ae188504e2a7910b703e","1","No"
"0x4b09d197c8f1291a1fdc10df38a44ede31eb94dc","1","No"
"0x4ce38346d95d04f3b2988668cf80535c067a0151","1","No"
"0x4d4a3a35e43ae752e1386ac0122592f1785611a7","1","No"
"0x4f4f1ef0fb9827ea671d1e6af83fd21d8383663a","1","No"
"0x5092bdafd8ac5acd429b77a7336baeb2f8df6cb7","1","No"
"0x510593d5401242b1708aa8e301aa71e3c27711a8","1","No"
"0x51a7e8881630be106a9891f9b9e13c4cc51ddb35","1","No"
"0x51b32e19434e4b8257137b8a7c95f0659bfd5e4e","1","No"
"0x5226e66e397ef392e03c8c6b6f58d605305cd97a","1","No"
"0x5233724aa5783d49ed84da2162b2afdf10ef3a49","1","No"
"0x540fb18011961b57928bdb57269aec8060f8fb5b","1","No"
"0x54737fcd8c3e4fad71e679c81de1334963dd0c29","1","No"
"0x54b623eefbea701d53c9964d33b9892c48ac8b07","1","No"
"0x54c4c84c14fd3e9107b5971914e7cc1119f3533d","1","No"
"0x54c5234f78538313e829796054605d8ab1a76375","1","No"
"0x5529fc098f6b51c6891e9312fda8d88a8ee628fb","1","No"
"0x55ea40f770ad9fd194b8f1457c8bbfb35b349e57","1","No"
"0x56200e39509e7505b2f076814b5b84df5ecfe82a","1","No"
"0x573a3cf314b464ae039e00e7566cdba3c8399ef4","1","No"
"0x574911a69ce1f9ba5f5829717f1b9921d645a437","1","No"
"0x579b8c09a62fa4055eb14ba5279112eaf0d88450","1","No"
"0x57e5d4e35b96048b14ca8f50b33be7bf3b62b3a7","1","No"
"0x589690814bef0335ebd2def3fea45efb56287a67","1","No"
"0x58e32f5301cb76cb74fcad5f8f80777286011292","1","No"
"0x5ac97bf1c516c3ee83ec9172c55b377cbac49ca2","1","No"
"0x5bd2d27c01273314fbc53619eeb1e0f663e8f458","1","No"
"0x5be04938a5d9539403065afde12ec1c7f4ce723f","1","No"
"0x5c038cb4a3bc5189670de3d01ea4bfdb58c917a5","1","No"
"0x5c1e426ad2dfea720df76d7af2f0645c580295bd","1","No"
"0x5c6ea3b3b4866405dda2ff3f6310d03334e6cc7c","1","No"
"0x5c8b5432801e3e441c488b081451cc49022a1269","1","No"
"0x5cc2f6f864f7719f1d807e3d4e8278dcba00ff39","1","No"
"0x5dbf31f3bd478da58d8411c163c649853b3bb342","1","No"
"0x5de57388204a5b02ebe81e0e2cecc98f39414163","1","No"
"0x5ed230672fbf192dfdd7bebd9f9da5658c3eaaf9","1","No"
"0x5f565c68845975787115c7e014f3c4e65cbff237","1","No"
"0x6061aee6a1aa745b4c5716f185ed3a6887b87cb3","1","No"
"0x60d620c18aaa9b12dbbfc6ff5597b9251b3f58c3","1","No"
"0x61c4d080a16ae3a9076a3b9c9cfa6ba021fd2ccd","1","No"
"0x61e3cef3bc04e141ea2a03a62cd9293d16c82344","1","No"
"0x61e81c46d6b276585582d7460ad3dd4f0b7cfda9","1","No"
"0x633cb2937a7fc879bd89d69a2b370ecea0e40bb7","1","No"
"0x637521aa5c589e2874da6fc5946eaee2393e08c0","1","No"
"0x63fae658e171f8e017e70a1a83c5fab287fc1037","1","No"
"0x657c6ff0073b7e4aea74890cea4019d98cf1ee29","1","No"
"0x6652aa325c7f114fb1d1f5540b52c89ed37f7b79","1","No"
"0x66c4393c1860ca93fd511d9fb1a8ef54936a6824","1","No"
"0x6726c74015585985df8f526386074de7e991fb62","1","No"
"0x679bfcba2e9bef7ff990cd1c889c017cccad0aa3","1","No"
"0x6847f4b2304dfdce408b0e3f122b7c39706a76c9","1","No"
"0x68e8d1249f06b47868424644a492d16eeba33c3e","1","No"
"0x6904e59db82e4362e66a48696391bce0b3996e68","1","No"
"0x69a8388cbaa02bcd7afdb019d33d7d2cfbd887c8","1","No"
"0x69fc9a9742486005764bf86b8ed5e49106313ecd","1","No"
"0x6a1bcef270ebddc56621924320190a6c7b202953","1","No"
"0x6ab0d62d4febcba6bf9bb623d12ae3395dcd51dd","1","No"
"0x6ae022886fdb0c83b5cf767e3839101f043d56e2","1","No"
"0x6d149fa0ab1b028587ebeacdaf120a6f6591c859","1","No"
"0x6d300ccd6c523e2f2124ae116c948f1ca1b5b2cf","1","No"
"0x6e331bec59b30ad52544a974dfb7ffda499e6942","1","No"
"0x6e61851aa4312e1bea08e63ef6037c55758fb34c","1","No"
"0x6f9670a1526b767d12bfd1cc5421c6bbee00bd74","1","No"
"0x70644f3c651bbca4ae7c7c6c4cf458225076ccfe","1","No"
"0x70d52c7d48ce07cf3946e7f00bd018d6176c2cb8","1","No"
"0x70fb2e8a725c23812d5885457d596352ac5466b1","1","No"
"0x7125f1f554fc331952c4aaeead6f0c3e29483e26","1","No"
"0x71e27f45cb43782d2a2470942930464254676763","1","No"
"0x71ff4116293ae5b157de89bf05346a56238acbe3","1","No"
"0x72938242cb7d4d305b33138c2f7b6387afd28e82","1","No"
"0x7437c58c207be117920a2ea57f5a4924385b5ad9","1","No"
"0x74aa269f14003008d43c7b580be7c4894e38b81f","1","No"
"0x756d59eb939cb76f1c64fe15d014ecb81b45f981","1","No"
"0x7576002abbd64aa51c3433f79eaa48a947583d38","1","No"
"0x75dcad540bc93cb5a5848d33031f0fd98f32a23d","1","No"
"0x75de3e6e5a752ba4d824a80ad1f6245b53ca1425","1","No"
"0x7613b0e4790ed78507c9ebadf1d14c429b63270d","1","No"
"0x76278a02bd82bd2dfe3eb01e8ec579ba7a2a304f","1","No"
"0x7778f343240b71e19b5610edc84d1b4f2ad8ca71","1","No"
"0x77f8ea28538d4fb6e2f9626d55ce4766343868fe","1","No"
"0x7931c6f0471e9d4339c81c3c2b62bb78cea6f6ab","1","No"
"0x79ba323061c9da393b477dc0c15c1e8a07a3733e","1","No"
"0x7a72915ad210ce7a31365d5fe885cea75d4977dc","1","No"
"0x7ac9caaf65529318ae90225244ed011286e3d0ce","1","No"
"0x7b43ad5598a8f78402a298d8b7987fa5b614d0da","1","No"
"0x7b6de544e3194f4656baa8ddb094f8d9d138d9e3","1","No"
"0x7d159d95121c6032b220771f69ad8f28b902c818","1","No"
"0x7d3c9ed5999b2cbfebcd66b4c6629d0a42df570f","1","No"
"0x7e13998780de398b2c3ff83fd9e006aa5797358c","1","No"
"0x821078a1614ac0a512004355196be15ca7af223e","1","No"
"0x83ec555e8d5669a6528408c22fb76c8e72240b13","1","No"
"0x84483fd26d4348d6fcb683fbc6ce75739d0e2322","1","No"
"0x84dd0e6a20d6eadbd51a3689a3a67d5c42a1b613","1","No"
"0x85362633c6ab0bd39aaf73dd8586ac8e8e29c821","1","No"
