"HolderAddress","Quantity","PendingBalanceUpdate"
"0x2fc864a1773d52d6515c240f5ef175a48c7794bb","3","No"
"0xb6656062101ebabdecc76d742fcdc7ff8629de71","3","No"
"0xa9567c15e82c66010c63897be90f4b2f4e5c9709","3","No"
"0xe630d9e212fe694bb5ff203e377128047606e162","3","No"
"0x4471fda641691d14fa80064cec3c21b9b700c63f","3","No"
"0x1764ddbf4117c0b1852c2ba3b645e46a9b27cd3d","3","No"
"0xf4dc4927a07c3fb3798efef32127b479b3e880bf","3","No"
"0xbfb7426726661b8e3c63af681899911f84002900","3","No"
"0x7ff654c6c5cfba02435ac1b62c412c4315c7de91","3","No"
"0xdd6283dc96d76c45fd83f5412ed17514a12f902a","3","No"
"0xc53114b89e5b0fb1d113efe8e7af4c41d7a0e66a","3","No"
"0xc3f8e9cec1afbd0bc2f776b943772f69e007d2e0","3","No"
"0x1bd81b1e6404aaf950ef22394e45a2d0242c9024","3","No"
"0x48805f369d4ecbe52156f009f8cecd68cc68ee47","3","No"
"0x912a16c8f29bb88ec416ae43dbd440dc1a558456","3","No"
"0xa7430a5d364e53f1e898a0def615e99b5c926963","3","No"
"0x1ee150e88aef0cb2085ab4bf7900f2fc746b3aec","3","No"
"0xc758a053d1ca1933be822837d157f80176dab8dd","3","No"
"0xb6ff37c58ec60f786336d8e6344048de82d639ef","3","No"
"0xc264b4a5fb07202721eaaf13e756a91a34c409c5","3","No"
"0x496731276dd679c16a4b9500ae60e15c57462910","3","No"
"0x07e05868e62444cdf5d344c431c40631866d82f4","3","No"
"0x5bcf075c41ab4cad6bd61f319ea07aab24a9b710","3","No"
"0x6275197cb56f404e95b3bcb3bfe177f7d15240fb","3","No"
"0x0a67bedf924e679b35196832f871b8ff2c25ff8d","3","No"
"0x3e16edb74738bf5cebe7064357eca0c5cca2ec24","3","No"
"0x7df17775895654168997f4bad63f47896ca4fe58","3","No"
"0xd8e1a4ce74dd3cedacc5236bcf1f8b2923fc63a0","3","No"
"0xe7d0ae1823582e5e6c3a0f9bb0526d380b16edf4","3","No"
"0xf6c106d9c390f4c592c2e3309610a0f88b70a90f","3","No"
"0x35b0f5b1e0ba729aa58daf0a7e15f7683b81cc49","3","No"
"0x3d8d23b84d9670e571afffad947eba9056e77a21","3","No"
"0x7322c2bc4e9a958cef9e431d8c6f17a81e100d4e","3","No"
"0x172e3e9517555f2b9a38574fd2fcc1a2b72392da","3","No"
"0x7292a5118b6ef0c39fc00fb502259aebfea670b9","3","No"
"0x892d57d99b54363630f99550508bd92ce3f2ffaa","3","No"
"0xaa816832126f6ef2fb09ff6a52f69f6c59c34d44","3","No"
"0x275a687738767b70aa812a4786ad812e7308d45f","3","No"
"0xdf037eedb2df31574b1658ca37f481ef4e80bd40","3","No"
"0x8672f7c9e345385aade6c3ca28849d95d79477de","3","No"
"0x621d73db155d6603d8197df01afc5768c26c4da5","3","No"
"0xd334d2c6c601b6a0931c49038443c065bbac74a7","3","No"
"0x7dabbed7360b0c921df854c8f9fc8d8173082096","3","No"
"0xa3f3f48708d027eefde588db308f5e3398d27662","3","No"
"0xe2801bc2a7fcf7f08ca2ee3a797ba11ee35d01e6","3","No"
"0xc1d35daaf8c740f0f582a111c27125730771b74c","3","No"
"0x8b68d75ba68316a3e58738646b26ae0931e07dd5","3","No"
"0x32155fc51c9097f2c549167c5a4877ccef49d291","3","No"
"0xec1d11d899a8ed5fcc1a03ca9ce14bbd06b24d97","3","No"
"0x752c46a6597593516dcf297b151f2e81a93923ad","3","No"
"0xba515c41c1d550a8a14f8ec4a8c651e12ded53ad","3","No"
"0xf3e0fb131f4b3c782eaa85d7fca9bfd887e5e412","3","No"
"0x21e08c04f29febce461be04789c1ee44d0e15da8","3","No"
"0x928355eb13ad9a1cc0587f81d0214a7e7b18b3f6","3","No"
"0x5a212c239e1197efc8b6b7e15b486fd1b14e4792","3","No"
"0xd8cbb57e07f2547b80629cf28867a26c719c771f","3","No"
"0xb5aef75709eeeebacea7967e19b5ee66e4754d04","3","No"
"0xbab529eb7b11ed64fdf812e5a61f15f77b101988","3","No"
"0xc15d2c06a389f0945c74d442f76e7e0cd0953103","3","No"
"0x397065ffec392da1c3b0d10a0c9fe946ecc91581","3","No"
"0xdeea8b9eecb865228388c24262f2b888254d99fe","3","No"
"0x42fcef96dcbb4051e24286b2946590874b25f2fb","3","No"
